Published,NID,Name,Appointment,SAD,"Fellow, Scholar, & Joint Appointments",Other Titles,Faculty Director Positions
Yes,306416,Takeo Hoshi,Professor of Finance (by courtesy),No,"Henri H. and Tomoye Takahashi Senior Fellow in Japanese Studies, Freeman Spogli Institute for International Studies","Director, Japan Studies Program, Shorenstein Asia-Pacific Research Center",
Yes,302826,Takuo Sugaya,Assistant Professor of Economics,No,,,
Yes,405341,Thomas Layton,Lecturer in Management,No,,,
Yes,307856,Thomas Stephen Wurster,Lecturer in Management,No,,,Co-Director of the LGBT Executive Leadership Program
Yes,306326,Timothy Bresnahan,Professor of Economics (by courtesy),No,"Senior Fellow, Stanford Institute for Economic Policy Research",,"Landau Professor in Technology and the Economy, School of Humanities and Sciences"
Yes,306446,Timothy James McQuade,Assistant Professor of Finance,No,Philip F. Maritz Faculty Scholar for 2015-16,,
Yes,302311,Uzma Khan,Associate Professor of Marketing,No,,,
Yes,302631,V. “Seenu” Srinivasan,"Adams Distinguished Professor of Management, Emeritus",No,,,
Yes,362546,Victoria Vanasco,Assistant Professor of Finance,No,Michelle R. Clayman Faculty Scholar for 2015-16,,
Yes,405301,Vladimir A. Asriyan,Visiting Assistant Professor of Finance,No,,,
Yes,306461,Walter W. Powell,Professor of Organizational Behavior (by courtesy),No,,"Professor of Education, School of Education|Professor of Communication (by courtesy), School of Humanities and Sciences|Professor of Management Science and Engineering (by courtesy), School of Engineering",
Yes,302246,Warren H. Hausman,Professor of Operations Management (by courtesy),No,,"Professor of Management Science and Engineering, School of Engineering",
Yes,302231,Wesley R Hartmann,Professor of Marketing,No,,,
Yes,302426,William F. Miller,"Herbert Hoover Professor of Public and Private Management, Emeritus",No,"Senior Fellow Emeritus, Freeman Spogli Institute for International Studies","Professor of Computer Science, Emeritus, School of Engineering",
Yes,302581,William F. Sharpe,"The STANCO 25 Professor of Finance, Emeritus",No,,,
Yes,305921,William H. Beaver,"Joan E. Horngren Professor of Accounting, Emeritus",No,,,
Yes,302726,William P. Barnett,"Thomas M. Siebel Professor of Business Leadership, Strategy, and Organizations",No,"Affiliated Faculty, Woods Institute for the Environment at Stanford",,Faculty Director of the Stanford Executive Program: Be a Leader Who Matters
Yes,386256,Yifat Sharabi Levine,Instructor,No,,,
Yes,362536,Yonatan Gur,"Assistant Professor of Operations, Information & Technology",No,,,
Yes,302166,Yossi Feinberg,John G. McCoy–Banc One Corporation Professor of Economics,No,,,"Faculty Director, Stanford Ignite|Director of the Corporate Entrepreneur: Driving Innovation and New Ventures Executive Program"
Yes,302651,Zakary Tormala,Professor of Marketing,No,,,
